인프라_카테고리,인프라_이름,도시,행정구역
교육,서울자곡초등학교,서울,강남구
교육,서울율현초등학교,서울,강남구
교육,세곡중학교,서울,강남구
교육,서울세명초등학교,서울,강남구
교육,휘문중학교,서울,강남구
교육,진선여자중학교,서울,강남구
교육,중동중학교,서울,강남구
교육,은성중학교,서울,강남구
교육,숙명여자중학교,서울,강남구
교육,단국대학교사범대학부속중학교,서울,강남구
교육,청담중학교,서울,강남구
교육,역삼중학교,서울,강남구
교육,언주중학교,서울,강남구
교육,언북중학교,서울,강남구
교육,압구정중학교,서울,강남구
교육,신사중학교,서울,강남구
교육,신구중학교,서울,강남구
교육,수서중학교,서울,강남구
교육,봉은중학교,서울,강남구
교육,도곡중학교,서울,강남구
교육,대치중학교,서울,강남구
교육,대청중학교,서울,강남구
교육,대왕중학교,서울,강남구
교육,대명중학교,서울,강남구
교육,구룡중학교,서울,강남구
교육,개포중학교,서울,강남구
교육,개원중학교,서울,강남구
교육,서울학동초등학교,서울,강남구
교육,서울포이초등학교,서울,강남구
교육,서울청담초등학교,서울,강남구
교육,서울일원초등학교,서울,강남구
교육,서울왕북초등학교,서울,강남구
교육,서울영희초등학교,서울,강남구
교육,서울역삼초등학교,서울,강남구
교육,서울언주초등학교,서울,강남구
교육,서울언북초등학교,서울,강남구
교육,서울양전초등학교,서울,강남구
교육,서울압구정초등학교,서울,강남구
교육,서울신구초등학교,서울,강남구
교육,서울수서초등학교,서울,강남구
교육,서울삼릉초등학교,서울,강남구
교육,서울봉은초등학교,서울,강남구
교육,서울도성초등학교,서울,강남구
교육,서울도곡초등학교,서울,강남구
교육,서울대현초등학교,서울,강남구
교육,서울대치초등학교,서울,강남구
교육,서울대청초등학교,서울,강남구
교육,서울대진초등학교,서울,강남구
교육,서울대왕초등학교,서울,강남구
교육,서울대모초등학교,서울,강남구
교육,서울대도초등학교,서울,강남구
교육,서울대곡초등학교,서울,강남구
교육,서울논현초등학교,서울,강남구
교육,서울구룡초등학교,서울,강남구
교육,서울개포초등학교,서울,강남구
교육,서울개일초등학교,서울,강남구
교육,서울개원초등학교,서울,강남구
교육,단국대학교부속소프트웨어고등학교,서울,강남구
교육,풍문고등학교,서울,강남구
교육,압구정고등학교,서울,강남구
교육,한국외국인학교,서울,강남구
교육,대진디자인고등학교,서울,강남구
교육,서울로봇고등학교,서울,강남구
교육,서울정애학교,서울,강남구
교육,밀알학교,서울,강남구
교육,경기여자고등학교부설방송통신고등학교,서울,강남구
교육,수도전기공업고등학교,서울,강남구
교육,휘문고등학교,서울,강남구
교육,현대고등학교,서울,강남구
교육,진선여자고등학교,서울,강남구
교육,중앙대학교사범대학부속고등학교,서울,강남구
교육,중산고등학교,서울,강남구
교육,중동고등학교,서울,강남구
교육,은광여자고등학교,서울,강남구
교육,영동고등학교,서울,강남구
교육,숙명여자고등학교,서울,강남구
교육,서울세종고등학교,서울,강남구
교육,단국대학교사범대학부속고등학교,서울,강남구
교육,청담고등학교,서울,강남구
교육,경기여자고등학교,서울,강남구
교육,경기고등학교,서울,강남구
교육,개포고등학교,서울,강남구
교육,국립국악중학교,서울,강남구
교육,국립국악고등학교,서울,강남구
교육,(A STUDIO)에이스튜디오학원,서울,강남구
교육,(주)그루샘수학보습학원,서울,강남구
교육,(주)대한폴댄스연맹학원,서울,강남구
교육,(주)메디잡리더스간호학원,서울,강남구
교육,(주)멘토르수학전문학원,서울,강남구
교육,(주)산에듀김영준국어논술전문별관학원,서울,강남구
교육,(주)산에듀김영준국어논술전문학원,서울,강남구
교육,(주)세한아카데미외국어학원,서울,강남구
교육,(주)엠제이재즈피아노실용음악학원,서울,강남구
교육,(주)인사이트어학원,서울,강남구
교육,(주)지이에스어학원,서울,강남구
교육,(주)케이미디어텍학원,서울,강남구
교육,1%국어교습소,서울,강남구
교육,123에듀진학상담지도교습소,서울,강남구
교육,1-5디자인랩(Designlab)학원,서울,강남구
교육,21세기수학보습학원,서울,강남구
교육,247에듀케어학원,서울,강남구
교육,3에스잉글리쉬영어교습소,서울,강남구
교육,414자기주도학습(SDL)원격학원,서울,강남구
교육,9087스튜디오미술교습소,서울,강남구
교육,AI코딩교습소,서울,강남구
교육,AN연기학원,서울,강남구
교육,AN키즈연기학원,서울,강남구
교육,Atop(에이탑)컨설팅진학상담지도교습소,서울,강남구
교육,CIM피아노학원,서울,강남구
교육,DP수학학원,서울,강남구
교육,EPS강남학원,서울,강남구
교육,G1로드원미술학원,서울,강남구
교육,GLMA글로벌인생만남논술교습소,서울,강남구
교육,HSC진학상담지도교습소,서울,강남구
교육,J바이올린음악교습소,서울,강남구
교육,J영어학원,서울,강남구
교육,K&M수학학원,서울,강남구
교육,KL실천영어교습소,서울,강남구
교육,K-코치원격학원,서울,강남구
교육,LK인공지능수학학원,서울,강남구
교육,LYS잉글리쉬(English)영어교습소,서울,강남구
교육,SCMA음악교습소,서울,강남구
교육,SDA엔터테인먼트학원,서울,강남구
교육,SJ수학교습소,서울,강남구
교육,SNU국악학원,서울,강남구
교육,S에스학원,서울,강남구
교육,UK스콜라즈어학원,서울,강남구
교육,가람국어학원,서울,강남구
교육,가슴시각미술교습소,서울,강남구
교육,가야건축인테리어학원,서울,강남구
교육,가온국악보습학원,서울,강남구
교육,가온미술학원,서울,강남구
교육,가온수학교습소,서울,강남구
교육,가온스피치앤퍼스널브랜딩학원,서울,강남구
교육,가온플러스독서실,서울,강남구
교육,가우디미술학원,서울,강남구
교육,가이아패션일러스트학원,서울,강남구
교육,가이아플라워아트공예학원,서울,강남구
교육,가인아카데미학원,서울,강남구
교육,가치수학교습소,서울,강남구
교육,감성교육학원,서울,강남구
교육,감성수학학원,서울,강남구
교육,감성실용음악학원,서울,강남구
교육,감성예찬미술교습소,서울,강남구
교육,강남(2)이용학원,서울,강남구
교육,강남1캠프킬연기학원,서울,강남구
교육,강남개포자라다남아미술학원,서울,강남구
교육,강남고도미대입시학원,서울,강남구
교육,강남고도미술학원,서울,강남구
교육,강남그린섬본원학원,서울,강남구
교육,강남대성SII S관퀀텀라이브러리독서실,서울,강남구
교육,강남대성단과논술2학원,서울,강남구
교육,강남대성단과논술학원,서울,강남구
교육,강남대성두원퀀텀라이브러리독서실,서울,강남구
교육,강남대성송민퀀텀라이브러리독서실,서울,강남구
교육,강남대성제이스퀀텀라이브러리독서실,서울,강남구
교육,강남대성학원,서울,강남구
교육,강남대연보습학원,서울,강남구
교육,강남대치권샘국어교습소,서울,강남구
교육,강남동방디자인학원,서울,강남구
교육,강남라이즈어학원,서울,강남구
교육,강남르몽드어학원,서울,강남구
교육,강남리더스중고등학원,서울,강남구
교육,강남리더스학원,서울,강남구
교육,강남메가스터디학원,서울,강남구
교육,강남메트로간호종합학원,서울,강남구
교육,강남멘토학원,서울,강남구
교육,강남미대넷미술교습소,서울,강남구
교육,강남미래간호학원,서울,강남구
교육,강남미술교습소,서울,강남구
교육,강남백합음악학원,서울,강남구
교육,강남뷰티미(美)아카데미학원,서울,강남구
교육,강남비상에듀학원,서울,강남구
교육,강남삼육외국어학원,서울,강남구
교육,강남세고비아기타교습소,서울,강남구
교육,강남센터주한영국문화원어학원,서울,강남구
교육,강남쎈수학교습소,서울,강남구
교육,강남쎈영어교습소,서울,강남구
교육,강남씨앤씨미술학원,서울,강남구
교육,강남아이티아카데미학원,서울,강남구
교육,강남아첼바이올린음악교습소,서울,강남구
교육,강남애견미용학원,서울,강남구
교육,강남언북한우리독서토론논술교습소,서울,강남구
교육,강남에스엘피어학학원,서울,강남구
교육,강남엔(N)플러스학원,서울,강남구
교육,강남예일영어교습소,서울,강남구
교육,강남원비트실용음악학원,서울,강남구
교육,강남월드인코리아학원,서울,강남구
교육,강남이용학원,서울,강남구
교육,강남이제이유플랜시사일본어학원,서울,강남구
교육,강남일원스즈키바이올린음악교습소,서울,강남구
교육,강남잉글리쉬아카데미어학원,서울,강남구
교육,강남잉글리쉬아카데미학원,서울,강남구
교육,강남정보학원,서울,강남구
교육,강남종로2관학원,서울,강남구
교육,강남종로대치독서실,서울,강남구
교육,강남중국어학원,서울,강남구
교육,강남천년의미소2관미술학원,서울,강남구
교육,강남천년의미소미술학원,서울,강남구
교육,강남천년의미소예비관미술학원,서울,강남구
교육,강남최강학원,서울,강남구
교육,강남커피바리스타학원,서울,강남구
교육,강남케이에스보습학원,서울,강남구
교육,강남크루팩토리승무원학원,서울,강남구
교육,강남탑브레인학원,서울,강남구
교육,강남하이클래스보습학원,서울,강남구
